name,url,author,publisher,date,price,rate,comment
城南旧事,https://book.douban.com/subject/1254588/,林海音 文 , 中国青年出版社 , 2003-7 , 16.00元,9.0,长亭外，古道边，芳草碧连天
刀锋,https://book.douban.com/subject/2035162/,[英]毛姆 , 上海译文出版社 , 2007-3 , 18.00元,9.0,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
寻路中国,https://book.douban.com/subject/5414391/,[美] 彼得·海斯勒 , 上海译文出版社 , 2011-1 , 33.00元,9.0,《纽约客》驻北京记者驾车漫游中国大陆的经历
嫌疑人X的献身,https://book.douban.com/subject/3211779/,[日] 东野圭吾 , 南海出版公司 , 2008-9 , 28.00,8.9,数学好是一种极致的浪漫
我与地坛,https://book.douban.com/subject/1209899/,史铁生 , 春风文艺出版社 , 2002-5 , 25.00元,9.1,这是你的罪孽与福祉
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,金庸 , 生活·读书·新知三联书店 , 1999-04 , 47.00元,9.0,侠之大者，为国为民
野草,https://book.douban.com/subject/1915958/,鲁迅 , 人民文学出版社 , 1973-3 , 0.20元,9.4,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
格林童话全集,https://book.douban.com/subject/1043008/,[德国]格林兄弟 , 人民文学出版社 , 1994-11 , 21.45元,9.0,一本有教育意义的书
黄金时代,https://book.douban.com/subject/1089243/,王小波 , 花城出版社 , 1999-3 , 19.00元,8.9,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
傲慢与偏见,https://book.douban.com/subject/1083428/,[英] 奥斯丁 , 人民文学出版社 , 1993-7 , 13.00元,8.9,所有现代言情小说的母体
无人生还,https://book.douban.com/subject/3006581/,[英] 阿加莎・克里斯蒂 , 人民文学出版社 , 2008-3 , 19.00,8.9,童谣杀人案
艺术的故事,https://book.douban.com/subject/3162991/,[英] 贡布里希 (Sir E.H.Gombrich) , 广西美术出版社 , 2008-04 , 280.00,9.6,从最早的洞窟绘画到当今的实验艺术
历史深处的忧虑,https://book.douban.com/subject/1027191/,林达 , 生活·读书·新知三联书店 , 1997-5 , 19.00元,9.0,窥见美国社会的一扇窗
彷徨,https://book.douban.com/subject/1449348/,鲁迅 , 人民文学出版社 , 1973-3 , 0.37元,9.1,路漫漫其修远兮，吾将上下而求索
文学回忆录,https://book.douban.com/subject/20440644/,木心 口述 , 广西师范大学出版社 , 2013-1-10 , 98.00元,9.1,木心留给世界的礼物
卡拉马佐夫兄弟,https://book.douban.com/subject/1856494/,[俄] 费奥多尔·陀思妥耶夫斯基 , 上海译文出版社 , 2006-8 , 25.00元,9.4,错综复杂的社会、家庭矛盾和人性悲剧
史记（全十册）,https://book.douban.com/subject/1077847/,司马迁 , 中华书局 , 1982-11 , 125.00,9.5,史家之绝唱，无韵之离骚
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,[法] 雨果 , 人民文学出版社 , 1992-6 , 66.00元,9.0,现实主义与浪漫主义的至高杰作
树上的男爵,https://book.douban.com/subject/6789605/,[意] 伊塔洛·卡尔维诺 , 译林出版社 , 2012-4-1 , 30.00元,9.1,是不是真的只有先与人疏离，才能最终与他们在一起？
朝花夕拾,https://book.douban.com/subject/1449352/,鲁迅 , 人民文学出版社 , 1972-4 , 0.25元,8.9,在纷扰中寻出一点闲静
邓小平时代,https://book.douban.com/subject/20424526/,[美] 傅高义 , 生活·读书·新知三联书店 , 2013-1 , 88.00元,9.2,个人命运背后的历史变局
许三观卖血记,https://book.douban.com/subject/1029791/,余华 , 南海出版公司 , 1998-9 , 16.80元,8.8,以博大的温情描绘磨难中的人生
神雕侠侣,https://book.douban.com/subject/1255624/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 76.80元,8.9,至情至性，情大于武
上帝掷骰子吗,https://book.douban.com/subject/1467022/,曹天元 , 辽宁教育出版社 , 2006-1 , 32.00元,9.2,量子物理史话
哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛 , 哈尔滨出版社 , 2003-6 , 15.80元,8.9,沙漠中寻常的生与死
台北人,https://book.douban.com/subject/5337248/,白先勇 , 广西师范大学出版社 , 2010-10 , 38.00元,8.9,白先勇短篇小说集
看见,https://book.douban.com/subject/20427187/,柴静 , 广西师范大学出版社 , 2013-1-1 , 39.80元,8.8,在这里看见中国
灿烂千阳,https://book.douban.com/subject/2143732/,[美] 卡勒德·胡赛尼 , 上海人民出版社 , 2007-9 , 28.00元,8.8,唯有希望与爱可以驱散阴霾
诗经,https://book.douban.com/subject/1883245/,孔丘 编订 , 北京出版社 , 2006-7 , 19.90元,9.4,思无邪
西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩 , 人民文学出版社 , 2004-8 , 47.20元,8.9,神魔皆有人情，精魅亦通世故
永恒的终结,https://book.douban.com/subject/25829693/,[美] 艾萨克·阿西莫夫 , 江苏凤凰文艺出版社 , 2014-9 , 32.00元,9.0,关于时间旅行的终极奥秘和恢宏构想
浪潮之巅,https://book.douban.com/subject/6709783/,吴军 , 电子工业出版社 , 2011-8 , 55.00元,9.0,了解IT领域的入门读物
罗杰疑案,https://book.douban.com/subject/21371175/,[英] 阿加莎·克里斯蒂 , 新星出版社 , 2013-3 , 28.00元,9.2,空
悉达多,https://book.douban.com/subject/3406401/,[德] 赫尔曼·黑塞 , 上海人民出版社 , 2009-3 , 20.00,9.0,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……
人间词话,https://book.douban.com/subject/1203426/,王国维 , 上海古籍出版社 , 1998-12-01 , 9.80元,9.0,以新眼光评旧文学
故事新编,https://book.douban.com/subject/2046909/,鲁迅 , 人民文学出版社 , 1973-12-01 , 0.31 元,9.4,拾取古代传说，取一点因由，随意点染
